link,TF,DF,raw_text,category,source_signal,confidence,rule_id,IDF,TF_IDF,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:42RD-NKM0-0038-X2KN-00000-00&context=1516831,325,129,"A&M Records, Inc. v. Napster, Inc., 239 F.3d 1004, 1013 (9th Cir. 2001)",Cases,link_collection,1,C_link_cases,2.828642952,919.3089595,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-3MV0-003B-54R4-00000-00&context=1516831,340,168,"Peer Int'l Corp. v. Pausa Records, Inc.,",Cases,link_collection,1,C_link_cases,2.564491377,871.9270682,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4S81-GHV0-TXFX-422R-00000-00&context=1516831,258,76,"Arbor Hill, 522 F.3d at 190",Cases,link_collection,1,C_link_cases,3.357722016,866.2922802,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-2SM0-0039-M05C-00000-00&context=1516831,300,134,"Nishimatsu Constr. Co. v. Houston Nat'l Bank, 515 F.2d 1200, 1206 (5th Cir. 1975))",Cases,link_collection,1,C_link_cases,2.790615557,837.184667,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4BT7-7VY0-0038-Y09H-00000-00&context=1516831,272,104,"F.R.D. 494, 501 (C.D. Cal. 2003)",Cases,link_collection,1,C_link_cases,3.044064457,827.9855324,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-C850-0039-X1DM-00000-00&context=1516831,277,112,"Gershwin Publ'g Corp. v. Columbia Artists Mgmt., 443 F.2d 1159, 1162 (2d Cir.",Cases,link_collection,1,C_link_cases,2.969956485,822.6779464,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4078-8K80-0038-X2JY-00000-00&context=1516831,230,64,"Three Boys Music Corp. v. Bolton, 212 F.3d 477, 481 (9th Cir. 2000)",Cases,link_collection,1,C_link_cases,3.529572273,811.8016228,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:5KK9-YJ61-F04F-03S7-00000-00&context=1516831,201,39,"Sheldon, 2016 U.S. Dist. LEXIS 116135, 2016 WL 5107072, at *18",Cases,link_collection,1,C_link_cases,4.02489371,809.0036358,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4GH5-BPX0-0038-X3V9-00000-00&context=1516831,258,101,"Island Software & Computer Serv., Inc. v. Microsoft Corp., 413 F.3d 257, 263 (2d",Cases,link_collection,1,C_link_cases,3.07333484,792.9203886,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:43G4-1YS0-0038-X0TY-00000-00&context=1516831,269,115,"Columbia Pictures Television, Inc. v. Krypton Broad. of Birmingham, Inc., 259 F.3d 1186,",Cases,link_collection,1,C_link_cases,2.943523228,791.8077484,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-2SX0-008H-V13D-00000-00&context=1516831,281,136,"N.A.S. Import, Corp. v. Chenson Enters., Inc., 968 F.2d 250, 252 (2d Cir. 1992)",Cases,link_collection,1,C_link_cases,2.775800471,779.9999323,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4BFM-K0G0-0038-Y0H0-00000-00&context=1516831,223,73,"Beker Enters. Inc., 298 F. Supp. 2d 1310, 1314 (S.D. Fla. 2003)",Cases,link_collection,1,C_link_cases,3.397995915,757.7530891,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4W-WYV0-003B-G48P-00000-00&context=1516831,287,165,"Harris v. Emus Records Corp., 734 F.2d",Cases,link_collection,1,C_link_cases,2.582509883,741.1803363,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-6KF0-003B-508C-00000-00&context=1516831,238,103,"v. Powell, 897 F.2d 565, 567, 283 U.S. App. D.C. 111 (D.C. Cir. 1990)).",Cases,link_collection,1,C_link_cases,3.053726368,726.7868757,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3TW1-5W60-0038-X423-00000-00&context=1516831,241,108,"News Serv. v. Reuters Int'l, Ltd., 149 F.3d 987, 996 (9th Cir. 1998)",Cases,link_collection,1,C_link_cases,3.006324129,724.5241152,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-7P90-0039-N51W-00000-00&context=1516831,234,99,"Matsushita Elec. Indus. Co. v. Zenith Radio Corp., 475 U.S.",Cases,link_collection,1,C_link_cases,3.093335506,723.8405085,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:55WB-G3S1-JCNJ-400N-00000-00&context=1516831,214,75,"L.A. Printex Indus., Inc. v. Aeropostale, Inc., 676 F.3d 841, 846 (9th Cir.",Cases,link_collection,1,C_link_cases,3.370967243,721.38699,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-DKN0-008H-V0W7-00000-00&context=1516831,234,102,"Chi-Boy Music v. Charlie Club, Inc., 930 F.2d 1224, 1229 (7th Cir. 1991)",Cases,link_collection,1,C_link_cases,3.063482543,716.8549151,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4VMS-GY80-TXFX-F20T-00000-00&context=1516831,171,33,"La Resolana Architects, 555 F.3d at 1178",Cases,link_collection,1,C_link_cases,4.191947795,716.823073,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4NSN-8840-004C-002M-00000-00&context=1516831,206,71,"Bell Atlantic Corp. v. Twombly, 550 U.S. 544, 570, 127 S. Ct. 1955, 167 L. Ed. 2d 929 (2007)).",Cases,link_collection,1,C_link_cases,3.42577548,705.7097488,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4W9Y-4KS0-TXFX-1325-00000-00&context=1516831,205,70,"Ashcroft v. Iqbal, 556 U.S. 662, 678, 129 S. Ct. 1937, 173 L. Ed. 2d 868 (2009)",Cases,link_collection,1,C_link_cases,3.439960115,705.1918235,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-9XW0-001T-D2J2-00000-00&context=1516831,209,75,"Knitwaves, Inc. v. Lollytogs Ltd., 71 F.3d",Cases,link_collection,1,C_link_cases,3.370967243,704.5321538,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-8XP0-0039-N1VY-00000-00&context=1516831,263,155,"Thomas v. Arn, 474 U.S. 140, 155, 106 S. Ct. 466, 88 L.",Cases,link_collection,1,C_link_cases,2.64503024,695.642953,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-05S0-0039-M07X-00000-00&context=1516831,207,76,"Sid & Marty Krofft Television Prods., Inc. v. McDonald's Corp., 562 F.2d",Cases,link_collection,1,C_link_cases,3.357722016,695.0484574,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:57M7-MNN1-F04D-H04C-00000-00&context=1516831,159,28,"Patrick Collins, Inc., 2013 U.S. Dist. LEXIS 11349, 2013 WL 359759, at *1-*2",Cases,link_collection,1,C_link_cases,4.356250846,692.6438846,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-3HS0-003B-S4S5-00000-00&context=1516831,225,110,"Blum v. Stenson, 465 U.S. 886, 895, 104 S. Ct. 1541, 79 L. Ed. 2d 891",Cases,link_collection,1,C_link_cases,2.987974991,672.2943729,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3RTS-8ST0-003B-507H-00000-00&context=1516831,217,99,"Cable/Home Commc'n Corp. v. Network Prod. Inc., 902 F. 2d 829,",Cases,link_collection,1,C_link_cases,3.093335506,671.2538049,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-0CT0-0039-M14F-00000-00&context=1516831,239,134,"Geddes v. United Fin. Grp., 559 F.2d 557, 560 (9th Cir. 1977)",Cases,link_collection,1,C_link_cases,2.790615557,666.957118,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4W-YKD0-001B-K3HN-00000-00&context=1516831,196,77,855 F.2d 375 (7th Cir. 1988),Cases,link_collection,1,C_link_cases,3.344649935,655.5513872,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:4C83-T500-0038-Y259-00000-00&context=1516831,178,56,"Gucci Am., 315 F. Supp. 2d at 520",Cases,link_collection,1,C_link_cases,3.663103666,652.0324525,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4X-0300-003B-G391-00000-00&context=1516831,204,90,"New York State Ass'n for Retarded Children, Inc. v. Carey, 711 F.2d",Cases,link_collection,1,C_link_cases,3.188645686,650.48372,,
https://advance.lexis.com/api/document?collection=cases&id=urn:contentItem:3S4P-3Y20-0039-S0KC-00000-00&context=1516831,209,102,"Boz Scaggs Music v. KND Corp., 491 F. Supp. 908 (D. Conn. 1980)",Cases,link_collection,1,C_link_cases,3.063482543,640.2678515,,
